,weight,gain,cover,total_gain,total_cover
FeaturesLabels.PearsonCorrelation.Mean,68,0.36191504225251486,5.88581812,24.61022287317101,400.23563215999997
Algorithm Name=LogitBoost,204,0.05542482479688238,6.754712556960787,11.306664258564005,1377.9613616200006
f67,21,0.17676599791585715,4.541261911904762,3.712085956233,95.36650015
dimensionality,62,0.3621313302171615,6.3884849125806475,22.45214247346401,396.08606458000014
f34,9,0.6345364577780221,3.344409493333333,5.7108281200021995,30.09968544
f92,6,0.326882931264,10.052394471666666,1.961297587584,60.31436683
f41,19,0.3208005741240368,5.721098898421053,6.095210908356699,108.70087907
f22,18,0.4346494974031667,4.912764746111112,7.823690953257001,88.42976543
f100,6,0.8627377055066666,3.644920746666667,5.17642623304,21.869524480000003
f7,21,0.3584329750541905,4.283464942857143,7.527092476138,89.9527638
f65,23,0.4202145714834783,4.826934088260869,9.664935144120001,111.01948402999999
Features.Skew.Mean,82,0.22952461011459382,4.594846115853659,18.821018029396694,376.7773815
f72,15,0.28173034333020003,8.951117103333335,4.225955149953,134.26675655000003
f31,5,0.2470489035764,2.997767592,1.235244517882,14.988837960000001
f80,27,0.46207606311662963,5.441203902592593,12.476053704149,146.91250537000002
f14,12,0.09015715424300003,3.561170855,1.0818858509160003,42.73405026
Features.PearsonCorrelation.StandardDeviation,34,0.22907131475548823,4.62008846617647,7.7884247016865995,157.08300784999997
f40,15,0.3414650425801334,6.034730769333334,5.121975638702001,90.52096154
f83,20,0.43138881577502497,5.955853199999998,8.6277763155005,119.11706399999997
f111,54,0.25726446872567205,5.117697965000001,13.892281311186292,276.35569011000007
f36,33,0.178341507849606,4.58081598,5.885269759036999,151.16692734
f71,16,0.22027664062993751,5.526685666249999,3.5244262500790002,88.42697065999998
f75,21,0.290901530758,5.034067729047619,6.108932145918001,105.71542231
f124,34,0.42470190978788824,6.747751846176469,14.4398649327882,229.42356276999996
f44,12,0.5287215090534166,6.525382225833334,6.344658108641,78.30458671000001
f59,24,0.3602310838142917,7.275382122083332,8.645546011543,174.60917092999998
f82,5,0.3911857311594,6.223930974,1.955928655797,31.119654869999998
f1,4,0.4726834587225,3.7118312099999997,1.89073383489,14.847324839999999
f85,25,0.1480448242826,5.2885757924,3.701120607065,132.21439481
f62,16,0.40838395054768756,4.323021978750001,6.534143208763001,69.16835166000001
f79,15,0.2102986492984,7.8473514693333355,3.1544797394760002,117.71027204000004
f21,30,0.29055182143460345,5.220236557999998,8.716554643038103,156.60709673999995
f64,26,0.23632109560873077,4.466208135384615,6.144348485827,116.12141151999998
f45,15,0.18898090717877994,5.500038323999998,2.834713607681699,82.50057485999997
f51,27,0.2562503283327852,3.8353655699999996,6.9187588649852,103.55487038999999
f50,20,0.4646653315976101,4.946145438,9.293306631952202,98.92290876
f112,25,0.30865066244244,5.304371788,7.716266561061,132.6092947
f56,9,0.162117915693,4.93143167,1.4590612412369999,44.382885030000004
f88,22,0.11429736127038183,5.101547132727273,2.5145419479484,112.23403692000001
attributes numerical,16,0.325816978542,6.3706694231249985,5.213071656672,101.93071076999998
f106,4,0.73024371965,2.6636477125,2.9209748786,10.65459085
instances,44,0.32793175544272735,7.416827586818183,14.428997239480003,326.34041382000004
f3,10,0.14576659517610002,3.567733264,1.4576659517610002,35.67733264
f69,43,0.08627344757476743,5.12259397488372,3.7097582457149993,220.27154091999995
Labels.Mean.NonAggregated,46,0.06904747917273478,5.6621760299999995,3.1761840419458,260.46009738
f86,17,0.2124593066498824,9.034960197058822,3.611808213048001,153.59432335
f61,28,0.10577402106892857,5.056127418928571,2.96167258993,141.57156773
Labels.Kurtosis.NonAggregated,48,0.2388691300839396,4.258947812500001,11.4657182440291,204.42949500000003
f16,8,0.273921687794625,3.8414557575000003,2.191373502357,30.731646060000003
f63,23,0.1854508460547608,6.570537185652176,4.265369459259499,151.12235527000004
f29,11,0.26600300027475454,5.036175404545454,2.9260330030223,55.39792945
f53,17,0.113620074861,5.904802098235294,1.9315412726369998,100.38163567
